Disease,Symptoms,Treatment
Cassava Mosaic Disease,yellow leaves mosaic pattern stunted growth,Use resistant varieties and remove infected plants
Yam Anthracnose,black spots leaf blight stem dieback,Apply fungicide and improve field sanitation
Bacterial Wilt,wilting yellowing soft rot,Remove infected plants and avoid waterlogging
Cassava Mosaic Disease,yellow leaves mosaic pattern stunted growth,Use resistant varieties and remove infected plants
Cassava Bacterial Blight,leaf wilting angular spots stem dieback,Use clean cuttings and avoid overhead irrigation
Cassava Root Rot,soft rotting roots foul smell poor yield,Improve drainage and remove infected plants
Yam Anthracnose,black spots leaf blight stem dieback,Apply fungicide and improve field sanitation
Yam Tuber Rot,soft rot foul smell tuber decay,Store in dry conditions and remove infected tubers
Sweet Potato Leaf Spot,brown spots yellow halo leaves drop,Apply fungicide and remove affected leaves
Sweet Potato Virus Disease,leaf curling yellowing reduced growth,Use virus-free planting materials
Bacterial Wilt,wilting yellowing soft rot,Remove infected plants and avoid waterlogging
Leaf Blight,large brown patches leaf drying,Apply fungicide and improve spacing
Root Knot Nematode,root swelling poor growth yellow leaves,Use resistant varieties and crop rotation
Cassava Green Mite,leaf distortion yellow speckles reduced yield,Use biological control and resistant varieties
Yam Beetle Damage,holes in tubers reduced yield,Use insecticide and proper field sanitation
Early Blight,brown concentric spots leaf drop,Apply fungicide regularly
Late Blight,water soaked lesions rapid decay,Use resistant varieties and fungicide
Fusarium Wilt,yellowing leaves vascular browning,Use resistant varieties and rotate crops
Downy Mildew,white growth under leaves yellow patches,Apply fungicide and reduce humidity
Black Rot,dark sunken lesions root decay,Remove infected plants and rotate crops
Soft Rot,watery tissue foul smell,Improve storage and sanitation
Leaf Curl,distorted curled leaves stunted growth,Control pests and use healthy planting material
Stem Rot,stem decay wilting plants,Improve drainage and apply fungicideCassava Mosaic Disease,yellow green mosaic pattern on leaves distorted leaf shape stunted growth,Plant resistant varieties remove and burn infected plants control whitefly vectors
Cassava Brown Streak Disease,brown streaks on stems yellow patches on leaves dry brown rot inside roots,Use certified disease free planting material rogue and destroy infected plants
Cassava Bacterial Blight,angular water soaked leaf spots wilting of leaves gum exudation on stems,Use clean planting material practice crop rotation avoid working in wet fields
Cassava Anthracnose Disease,dark sunken lesions on stems cankers dieback of shoot tips,Prune and destroy infected parts apply recommended fungicide use resistant varieties
Cassava Root Rot,soft mushy roots foul smell yellowing and wilting of leaves,Improve field drainage avoid waterlogging use disease free cuttings apply fungicide to soil
Cassava Green Mite Infestation,mottled and curled leaves yellow specks on leaf surface reduced leaf size,Introduce natural predators use resistant varieties avoid drought stress on plants
Cassava Mealybug Infestation,stunted shoot tips bunchy top appearance white waxy insects on stems,Introduce natural enemies use certified cuttings avoid moving infested planting material
Cassava Ash Whitefly Sooty Mould,black sooty coating on leaf surface reduced photosynthesis sticky honeydew on leaves,Control whitefly population with insecticide wash affected leaves prune heavily infested branches
Yam Mosaic Virus,mottled light and dark green patches on leaves distorted leaf shape reduced tuber yield,Use virus free seed yams rogue infected plants control aphid vectors
Yam Anthracnose Disease,dark brown leaf spots defoliation die back of vine tips,Apply appropriate fungicide use resistant varieties avoid dense planting
Yam Dry Rot,hard dry brown discoloration inside tuber shriveling of tuber surface,Use healthy setts for planting practice proper storage treat setts with fungicide before planting
Yam Wet Rot,soft watery decay of tuber foul odor collapse of tuber tissue,Improve drainage in storage avoid injury during harvest use disease free planting material
Yam Nematode Damage,rough cracked tuber skin internal brown lesions stunted plant growth,Practice crop rotation use nematode free planting material apply organic soil amendments
Yam Beetle Damage,tunnels and holes bored into tuber surface scarring on tuber skin,Harvest on time apply recommended insecticide use clean seed yams
Yam Leaf Spot,small brown circular spots on leaves yellow halo around spots premature leaf fall,Apply fungicide spray remove fallen infected leaves avoid overhead irrigation
Yam Tuber Storage Rot,shrinking and softening of stored tubers mold growth on surface bad odor,Store in well ventilated barns cure tubers before storage remove damaged tubers regularly
Sweet Potato Virus Disease,stunted vines small chlorotic leaves purpling of leaf veins reduced root yield,Use virus tested planting material control aphid and whitefly vectors rogue infected plants
Sweet Potato Weevil Damage,tunnels bored into roots bitter taste and foul smell in affected roots wilting of vines,Practice crop rotation hill up soil around base harvest promptly use clean planting material
Sweet Potato Black Rot,black sunken lesions on roots bitter taste dark spots on sprouts,Use disease free slips practice crop rotation avoid wounding roots during harvest
Sweet Potato Scurf,dark brown superficial blemishes on root skin surface roughening no internal damage,Use disease free planting material practice crop rotation cure roots properly after harvest
Sweet Potato Foot Rot,black lesion at base of stem wilting and death of vine dark discoloration spreading upward,Remove and destroy infected plants avoid waterlogging use resistant varieties
Sweet Potato Fusarium Wilt,yellowing and wilting of lower leaves brown discoloration of vascular tissue stunted vine growth,Use resistant varieties practice crop rotation avoid planting in infested soil
Sweet Potato Leaf Spot,small circular tan spots with dark margins on leaves premature defoliation,Apply fungicide spray remove infected leaf debris avoid overhead watering
Sweet Potato Soft Rot,watery soft decay of stored roots foul smell rapid spread in storage,Cure roots before storage store in dry ventilated area remove damaged roots promptly
Sweet Potato Root Knot Nematode,swollen galls on roots stunted vine growth yellowing of leaves,Practice crop rotation use nematode resistant varieties apply organic matter to soil
Cassava Superelongation Disease,abnormal elongation of internodes thin weak stems reduced tuber formation,Use resistant varieties apply appropriate fungicide avoid excess nitrogen fertilizer
Cassava White Leaf Spot,small white to gray spots with dark borders on leaves premature leaf drop,Apply copper based fungicide remove and destroy fallen leaves improve field spacing
Cassava Brown Leaf Spot,circular brown spots with yellow halo on older leaves gradual defoliation,Remove infected leaves apply fungicide if severe use wider plant spacing
Cassava Witches Broom Disease,abnormal bunching of shoots small yellow malformed leaves reduced tuber yield,Remove and destroy affected plants control leafhopper insect vectors use clean planting material
Cassava Rust,orange to brown pustules on underside of leaves yellowing of upper leaf surface,Apply appropriate fungicide remove severely infected leaves improve air circulation between plants
Cassava Scab,rough corky raised lesions on stems and petioles cracking of bark,Prune affected parts apply fungicide use disease free cuttings for new planting
